ctit083
	Adding nVidia Cuda Toolkit 10.1
Gpu devices                 : 0
Starting worker: 
/tmp/slurmd/job220191/slurm_script: line 20: ./gpu_burn: No such file or directory
Train Set:  160
Validation Set:  40
Test Set:  100
cuda
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [1/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:07<10:10,  7.73s/it]
  2%|▎         | 2/80 [00:12<07:46,  5.98s/it]
  4%|▍         | 3/80 [00:17<06:58,  5.44s/it]
  5%|▌         | 4/80 [00:22<06:36,  5.22s/it]
  6%|▋         | 5/80 [00:26<06:18,  5.04s/it]
  8%|▊         | 6/80 [00:31<06:08,  4.98s/it]
  9%|▉         | 7/80 [00:36<06:01,  4.95s/it]
 10%|█         | 8/80 [00:41<05:52,  4.89s/it]
 11%|█▏        | 9/80 [00:46<05:49,  4.93s/it]
 12%|█▎        | 10/80 [00:51<05:47,  4.96s/it]
 14%|█▍        | 11/80 [00:56<05:49,  5.07s/it]
 15%|█▌        | 12/80 [01:01<05:41,  5.02s/it]
 98%|█████████▊| 78/80 [06:08<00:09,  4.70s/it]
 99%|█████████▉| 79/80 [06:13<00:04,  4.70s/it]
100%|██████████| 80/80 [06:18<00:00,  4.72s/it]
100%|██████████| 80/80 [06:18<00:00,  4.73s/it]
Epoch [8/20], Train Loss: 0.2550
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:30,  4.76s/it]
 10%|█         | 2/20 [00:09<01:24,  4.71s/it]
 15%|█▌        | 3/20 [00:14<01:20,  4.71s/it]
 20%|██        | 4/20 [00:18<01:14,  4.69s/it]
 25%|██▌       | 5/20 [00:23<01:10,  4.69s/it]
 30%|███       | 6/20 [00:28<01:05,  4.69s/it]
 35%|███▌      | 7/20 [00:32<01:01,  4.71s/it]
 40%|████      | 8/20 [00:37<00:56,  4.73s/it]
 45%|████▌     | 9/20 [00:42<00:52,  4.73s/it]
 50%|█████     | 10/20 [00:47<00:47,  4.73s/it]
 55%|█████▌    | 11/20 [00:51<00:42,  4.68s/it]
 60%|██████    | 12/20 [00:56<00:36,  4.58s/it]
 65%|██████▌   | 13/20 [01:00<00:31,  4.53s/it]
 70%|███████   | 14/20 [01:04<00:26,  4.48s/it]
 75%|███████▌  | 15/20 [01:09<00:22,  4.48s/it]
 80%|████████  | 16/20 [01:14<00:18,  4.60s/it]
 85%|████████▌ | 17/20 [01:19<00:14,  4.72s/it]
 90%|█████████ | 18/20 [01:23<00:09,  4.72s/it]
 95%|█████████▌| 19/20 [01:28<00:04,  4.71s/it]
100%|██████████| 20/20 [01:33<00:00,  4.73s/it]
100%|██████████| 20/20 [01:33<00:00,  4.67s/it]
Epoch [8/20], Validation Loss: 0.2504
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [9/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:04<06:06,  4.63s/it]
  2%|▎         | 2/80 [00:09<06:08,  4.73s/it]
  4%|▍         | 3/80 [00:14<06:01,  4.70s/it]
  5%|▌         | 4/80 [00:18<05:59,  4.73s/it]
  6%|▋         | 5/80 [00:23<05:51,  4.69s/it]
  8%|▊         | 6/80 [00:28<05:48,  4.70s/it]
  9%|▉         | 7/80 [00:32<05:44,  4.72s/it]
 10%|█         | 8/80 [00:37<05:37,  4.69s/it]
 11%|█▏        | 9/80 [00:42<05:34,  4.71s/it]
 12%|█▎        | 10/80 [00:47<05:30,  4.73s/it]
 14%|█▍        | 11/80 [00:51<05:26,  4.73s/it]
 15%|█▌        | 12/80 [00:56<05:19,  4.70s/it]
 16%|█▋        | 13/80 [01:01<05:14,  4.70s/it]
 18%|█▊        | 14/80 [01:05<05:09,  4.69s/it]
 19%|█▉        | 15/80 [01:10<05:07,  4.73s/it]
 20%|██        | 16/80 [01:15<05:01,  4.72s/it]
 21%|██▏       | 17/80 [01:20<04:56,  4.71s/it]
 22%|██▎       | 18/80 [01:24<04:51,  4.70s/it]
 24%|██▍       | 19/80 [01:29<04:46,  4.70s/it]
 25%|██▌       | 20/80 [01:34<04:41,  4.69s/it]
 26%|██▋       | 21/80 [01:38<04:36,  4.69s/it]
 28%|██▊       | 22/80 [01:43<04:32,  4.70s/it]
 29%|██▉       | 23/80 [01:48<04:29,  4.73s/it]
 30%|███       | 24/80 [01:53<04:24,  4.73s/it]
 31%|███▏      | 25/80 [01:57<04:20,  4.74s/it]
 32%|███▎      | 26/80 [02:02<04:16,  4.75s/it]
 34%|███▍      | 27/80 [02:07<04:13,  4.78s/it]
 35%|███▌      | 28/80 [02:12<04:09,  4.81s/it]
 36%|███▋      | 29/80 [02:16<04:02,  4.75s/it]
 38%|███▊      | 30/80 [02:21<03:57,  4.76s/it]
 39%|███▉      | 31/80 [02:26<03:52,  4.74s/it]
 40%|████      | 32/80 [02:31<03:46,  4.73s/it]
 41%|████▏     | 33/80 [02:35<03:42,  4.74s/it]
 42%|████▎     | 34/80 [02:40<03:38,  4.74s/it]
 44%|████▍     | 35/80 [02:45<03:32,  4.72s/it]
 45%|████▌     | 36/80 [02:49<03:26,  4.68s/it]
 46%|████▋     | 37/80 [02:54<03:20,  4.67s/it]
 48%|████▊     | 38/80 [02:59<03:15,  4.66s/it]
 49%|████▉     | 39/80 [03:03<03:10,  4.65s/it]
 50%|█████     | 40/80 [03:08<03:05,  4.65s/it]
 51%|█████▏    | 41/80 [03:13<03:01,  4.66s/it]
 52%|█████▎    | 42/80 [03:17<02:57,  4.67s/it]
 54%|█████▍    | 43/80 [03:22<02:53,  4.70s/it]
 55%|█████▌    | 44/80 [03:27<02:49,  4.71s/it]
 56%|█████▋    | 45/80 [03:32<02:50,  4.87s/it]
 57%|█████▊    | 46/80 [03:37<02:43,  4.82s/it]
 59%|█████▉    | 47/80 [03:41<02:38,  4.80s/it]
 60%|██████    | 48/80 [03:46<02:33,  4.79s/it]
 61%|██████▏   | 49/80 [03:51<02:27,  4.76s/it]
 62%|██████▎   | 50/80 [03:56<02:22,  4.73s/it]
 64%|██████▍   | 51/80 [04:00<02:17,  4.72s/it]
 65%|██████▌   | 52/80 [04:05<02:12,  4.72s/it]
 66%|██████▋   | 53/80 [04:10<02:07,  4.73s/it]
 68%|██████▊   | 54/80 [04:15<02:07,  4.92s/it]
 69%|██████▉   | 55/80 [04:20<02:00,  4.83s/it]
 70%|███████   | 56/80 [04:25<01:56,  4.84s/it]
 71%|███████▏  | 57/80 [04:29<01:50,  4.81s/it]
 72%|███████▎  | 58/80 [04:34<01:45,  4.78s/it]
 74%|███████▍  | 59/80 [04:39<01:40,  4.80s/it]
 75%|███████▌  | 60/80 [04:44<01:35,  4.76s/it]
 76%|███████▋  | 61/80 [04:48<01:30,  4.76s/it]
 78%|███████▊  | 62/80 [04:53<01:25,  4.77s/it]
 79%|███████▉  | 63/80 [04:58<01:20,  4.76s/it]
 80%|████████  | 64/80 [05:03<01:16,  4.78s/it]
 81%|████████▏ | 65/80 [05:07<01:11,  4.75s/it]
 82%|████████▎ | 66/80 [05:12<01:06,  4.73s/it]
 84%|████████▍ | 67/80 [05:17<01:01,  4.72s/it]
 85%|████████▌ | 68/80 [05:22<00:57,  4.77s/it]
 86%|████████▋ | 69/80 [05:27<00:53,  4.83s/it]
 88%|████████▊ | 70/80 [05:31<00:47,  4.74s/it]
 89%|████████▉ | 71/80 [05:36<00:42,  4.75s/it]
 90%|█████████ | 72/80 [05:41<00:38,  4.78s/it]
 91%|█████████▏| 73/80 [05:46<00:34,  4.86s/it]
 92%|█████████▎| 74/80 [05:51<00:29,  4.84s/it]
 94%|█████████▍| 75/80 [05:55<00:23,  4.79s/it]
 95%|█████████▌| 76/80 [06:00<00:19,  4.80s/it]
 96%|█████████▋| 77/80 [06:05<00:14,  4.78s/it]
 98%|█████████▊| 78/80 [06:10<00:09,  4.78s/it]
 99%|█████████▉| 79/80 [06:14<00:04,  4.77s/it]
100%|██████████| 80/80 [06:19<00:00,  4.78s/it]
100%|██████████| 80/80 [06:19<00:00,  4.75s/it]
Epoch [9/20], Train Loss: 0.2544
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:32,  4.87s/it]
 10%|█         | 2/20 [00:09<01:28,  4.89s/it]
 15%|█▌        | 3/20 [00:14<01:21,  4.77s/it]
 20%|██        | 4/20 [00:18<01:14,  4.67s/it]
 25%|██▌       | 5/20 [00:23<01:11,  4.77s/it]
 30%|███       | 6/20 [00:28<01:06,  4.79s/it]
 35%|███▌      | 7/20 [00:33<01:01,  4.74s/it]
 40%|████      | 8/20 [00:38<00:56,  4.74s/it]
 45%|████▌     | 9/20 [00:42<00:51,  4.71s/it]
 50%|█████     | 10/20 [00:47<00:47,  4.72s/it]
 55%|█████▌    | 11/20 [00:52<00:42,  4.68s/it]
 60%|██████    | 12/20 [00:56<00:37,  4.68s/it]
 65%|██████▌   | 13/20 [01:01<00:32,  4.70s/it]
 70%|███████   | 14/20 [01:06<00:28,  4.70s/it]
 75%|███████▌  | 15/20 [01:10<00:23,  4.67s/it]
 80%|████████  | 16/20 [01:15<00:18,  4.68s/it]
 85%|████████▌ | 17/20 [01:20<00:14,  4.69s/it]
 90%|█████████ | 18/20 [01:24<00:09,  4.70s/it]
 95%|█████████▌| 19/20 [01:29<00:04,  4.73s/it]
100%|██████████| 20/20 [01:34<00:00,  4.76s/it]
100%|██████████| 20/20 [01:34<00:00,  4.73s/it]
Epoch [9/20], Validation Loss: 0.2530
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [10/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:04<06:09,  4.68s/it]
  2%|▎         | 2/80 [00:09<06:06,  4.70s/it]
  4%|▍         | 3/80 [00:14<05:58,  4.66s/it]
  5%|▌         | 4/80 [00:18<05:58,  4.72s/it]
  6%|▋         | 5/80 [00:23<05:50,  4.68s/it]
  8%|▊         | 6/80 [00:28<05:45,  4.66s/it]
  9%|▉         | 7/80 [00:32<05:42,  4.69s/it]
 10%|█         | 8/80 [00:37<05:37,  4.68s/it]
 11%|█▏        | 9/80 [00:42<05:32,  4.68s/it]
 12%|█▎        | 10/80 [00:46<05:29,  4.70s/it]
 14%|█▍        | 11/80 [00:51<05:26,  4.73s/it]
 15%|█▌        | 12/80 [00:56<05:21,  4.73s/it]
 16%|█▋        | 13/80 [01:01<05:16,  4.72s/it]
 18%|█▊        | 14/80 [01:05<05:10,  4.70s/it]
 19%|█▉        | 15/80 [01:10<05:04,  4.68s/it]
 20%|██        | 16/80 [01:15<04:58,  4.67s/it]
 21%|██▏       | 17/80 [01:19<04:53,  4.66s/it]
 22%|██▎       | 18/80 [01:24<04:50,  4.68s/it]
 24%|██▍       | 19/80 [01:29<04:44,  4.67s/it]
 25%|██▌       | 20/80 [01:33<04:38,  4.65s/it]
 26%|██▋       | 21/80 [01:38<04:34,  4.66s/it]
 28%|██▊       | 22/80 [01:43<04:32,  4.69s/it]
 29%|██▉       | 23/80 [01:47<04:27,  4.69s/it]
 30%|███       | 24/80 [01:52<04:22,  4.68s/it]
 31%|███▏      | 25/80 [01:57<04:17,  4.68s/it]
 32%|███▎      | 26/80 [02:01<04:13,  4.69s/it]
 34%|███▍      | 27/80 [02:06<04:09,  4.71s/it]
 35%|███▌      | 28/80 [02:11<04:04,  4.70s/it]
 36%|███▋      | 29/80 [02:16<04:00,  4.72s/it]
 38%|███▊      | 30/80 [02:20<03:56,  4.73s/it]
 39%|███▉      | 31/80 [02:25<03:52,  4.75s/it]
 40%|████      | 32/80 [02:30<03:44,  4.67s/it]
 41%|████▏     | 33/80 [02:34<03:35,  4.58s/it]
 42%|████▎     | 34/80 [02:39<03:30,  4.58s/it]
 44%|████▍     | 35/80 [02:43<03:23,  4.53s/it]
 45%|████▌     | 36/80 [02:48<03:27,  4.72s/it]
 46%|████▋     | 37/80 [02:53<03:21,  4.68s/it]
 48%|████▊     | 38/80 [02:57<03:14,  4.64s/it]
 49%|████▉     | 39/80 [03:02<03:09,  4.61s/it]
 50%|█████     | 40/80 [03:06<03:03,  4.58s/it]
 51%|█████▏    | 41/80 [03:11<02:56,  4.52s/it]
 52%|█████▎    | 42/80 [03:15<02:50,  4.47s/it]
 54%|█████▍    | 43/80 [03:19<02:43,  4.43s/it]
 55%|█████▌    | 44/80 [03:24<02:40,  4.45s/it]
 56%|█████▋    | 45/80 [03:28<02:35,  4.45s/it]
 57%|█████▊    | 46/80 [03:33<02:31,  4.46s/it]
 59%|█████▉    | 47/80 [03:37<02:26,  4.45s/it]
 60%|██████    | 48/80 [03:42<02:21,  4.43s/it]
 61%|██████▏   | 49/80 [03:47<02:23,  4.62s/it]
 62%|██████▎   | 50/80 [03:51<02:16,  4.55s/it]
 64%|██████▍   | 51/80 [03:55<02:10,  4.49s/it]
 65%|██████▌   | 52/80 [04:00<02:05,  4.47s/it]
 66%|██████▋   | 53/80 [04:04<02:00,  4.48s/it]
 68%|██████▊   | 54/80 [04:09<01:56,  4.50s/it]
 69%|██████▉   | 55/80 [04:13<01:51,  4.45s/it]
 70%|███████   | 56/80 [04:18<01:46,  4.42s/it]
 71%|███████▏  | 57/80 [04:22<01:41,  4.42s/it]
 72%|███████▎  | 58/80 [04:26<01:37,  4.41s/it]
 74%|███████▍  | 59/80 [04:31<01:32,  4.39s/it]
 75%|███████▌  | 60/80 [04:35<01:28,  4.40s/it]
 76%|███████▋  | 61/80 [04:40<01:23,  4.41s/it]
 78%|███████▊  | 62/80 [04:44<01:19,  4.40s/it]
 79%|███████▉  | 63/80 [04:48<01:14,  4.40s/it]
 80%|████████  | 64/80 [04:53<01:10,  4.40s/it]
 81%|████████▏ | 65/80 [04:57<01:06,  4.45s/it]
 82%|████████▎ | 66/80 [05:02<01:02,  4.48s/it]
 84%|████████▍ | 67/80 [05:06<00:57,  4.46s/it]
 85%|████████▌ | 68/80 [05:11<00:53,  4.44s/it]
 86%|████████▋ | 69/80 [05:15<00:48,  4.44s/it]
 88%|████████▊ | 70/80 [05:20<00:46,  4.60s/it]
 89%|████████▉ | 71/80 [05:25<00:41,  4.61s/it]
 90%|█████████ | 72/80 [05:29<00:36,  4.54s/it]
 91%|█████████▏| 73/80 [05:34<00:31,  4.50s/it]
 92%|█████████▎| 74/80 [05:38<00:26,  4.48s/it]
 94%|█████████▍| 75/80 [05:42<00:22,  4.45s/it]
 95%|█████████▌| 76/80 [05:47<00:17,  4.44s/it]
 96%|█████████▋| 77/80 [05:51<00:13,  4.41s/it]
 98%|█████████▊| 78/80 [05:56<00:08,  4.42s/it]
 99%|█████████▉| 79/80 [06:00<00:04,  4.41s/it]
100%|██████████| 80/80 [06:04<00:00,  4.44s/it]
100%|██████████| 80/80 [06:04<00:00,  4.56s/it]
Epoch [10/20], Train Loss: 0.2547
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:23,  4.38s/it]
 10%|█         | 2/20 [00:08<01:19,  4.42s/it]
 15%|█▌        | 3/20 [00:13<01:14,  4.39s/it]
 20%|██        | 4/20 [00:17<01:10,  4.41s/it]
 25%|██▌       | 5/20 [00:22<01:06,  4.45s/it]
 30%|███       | 6/20 [00:26<01:02,  4.43s/it]
 35%|███▌      | 7/20 [00:30<00:57,  4.43s/it]
 40%|████      | 8/20 [00:35<00:53,  4.44s/it]
 45%|████▌     | 9/20 [00:39<00:48,  4.42s/it]
 50%|█████     | 10/20 [00:44<00:44,  4.42s/it]
 55%|█████▌    | 11/20 [00:48<00:40,  4.47s/it]
 60%|██████    | 12/20 [00:53<00:35,  4.44s/it]
 65%|██████▌   | 13/20 [00:57<00:31,  4.43s/it]
 70%|███████   | 14/20 [01:01<00:26,  4.42s/it]
 75%|███████▌  | 15/20 [01:06<00:22,  4.41s/it]
 80%|████████  | 16/20 [01:10<00:17,  4.43s/it]
 85%|████████▌ | 17/20 [01:15<00:13,  4.42s/it]
 90%|█████████ | 18/20 [01:19<00:08,  4.41s/it]
 95%|█████████▌| 19/20 [01:23<00:04,  4.38s/it]
100%|██████████| 20/20 [01:28<00:00,  4.40s/it]
100%|██████████| 20/20 [01:28<00:00,  4.42s/it]
Epoch [10/20], Validation Loss: 0.2573
** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** ** 
Epoch [11/20]
Training

  0%|          | 0/80 [00:00<?, ?it/s]
  1%|▏         | 1/80 [00:04<05:46,  4.39s/it]
  2%|▎         | 2/80 [00:08<05:43,  4.41s/it]
  4%|▍         | 3/80 [00:13<05:40,  4.42s/it]
  5%|▌         | 4/80 [00:17<05:43,  4.52s/it]
  6%|▋         | 5/80 [00:22<05:36,  4.49s/it]
  8%|▊         | 6/80 [00:26<05:31,  4.48s/it]
  9%|▉         | 7/80 [00:31<05:26,  4.48s/it]
 10%|█         | 8/80 [00:35<05:20,  4.44s/it]
 11%|█▏        | 9/80 [00:40<05:15,  4.44s/it]
 12%|█▎        | 10/80 [00:44<05:08,  4.40s/it]
 14%|█▍        | 11/80 [00:48<05:05,  4.43s/it]
 15%|█▌        | 12/80 [00:53<05:00,  4.42s/it]
 16%|█▋        | 13/80 [00:57<04:56,  4.43s/it]
 18%|█▊        | 14/80 [01:02<04:53,  4.45s/it]
 19%|█▉        | 15/80 [01:06<04:48,  4.43s/it]
 20%|██        | 16/80 [01:11<04:43,  4.42s/it]
 21%|██▏       | 17/80 [01:15<04:39,  4.44s/it]
 22%|██▎       | 18/80 [01:20<04:36,  4.45s/it]
 24%|██▍       | 19/80 [01:24<04:30,  4.43s/it]
 25%|██▌       | 20/80 [01:28<04:24,  4.40s/it]
 26%|██▋       | 21/80 [01:33<04:21,  4.43s/it]
 28%|██▊       | 22/80 [01:37<04:19,  4.47s/it]
 29%|██▉       | 23/80 [01:42<04:14,  4.46s/it]
 30%|███       | 24/80 [01:46<04:09,  4.45s/it]
 31%|███▏      | 25/80 [01:51<04:03,  4.43s/it]
 32%|███▎      | 26/80 [01:55<03:59,  4.44s/it]
 34%|███▍      | 27/80 [02:00<03:57,  4.48s/it]
 35%|███▌      | 28/80 [02:04<03:59,  4.60s/it]
 36%|███▋      | 29/80 [02:09<04:00,  4.71s/it]
 38%|███▊      | 30/80 [02:14<03:50,  4.60s/it]
 39%|███▉      | 31/80 [02:18<03:43,  4.56s/it]
 40%|████      | 32/80 [02:23<03:36,  4.50s/it]
 41%|████▏     | 33/80 [02:27<03:31,  4.49s/it]
 42%|████▎     | 34/80 [02:31<03:24,  4.45s/it]
 44%|████▍     | 35/80 [02:36<03:19,  4.44s/it]
 45%|████▌     | 36/80 [02:40<03:16,  4.48s/it]
 46%|████▋     | 37/80 [02:45<03:10,  4.43s/it]
 48%|████▊     | 38/80 [02:49<03:05,  4.42s/it]
 49%|████▉     | 39/80 [02:53<03:00,  4.40s/it]
 50%|█████     | 40/80 [02:58<02:56,  4.41s/it]
 51%|█████▏    | 41/80 [03:02<02:52,  4.41s/it]
 52%|█████▎    | 42/80 [03:07<02:46,  4.39s/it]
 54%|█████▍    | 43/80 [03:11<02:43,  4.42s/it]
 55%|█████▌    | 44/80 [03:16<02:39,  4.43s/it]
 56%|█████▋    | 45/80 [03:20<02:34,  4.40s/it]
 57%|█████▊    | 46/80 [03:24<02:29,  4.41s/it]
 59%|█████▉    | 47/80 [03:29<02:24,  4.39s/it]
 60%|██████    | 48/80 [03:33<02:20,  4.41s/it]
 61%|██████▏   | 49/80 [03:38<02:16,  4.40s/it]
 62%|██████▎   | 50/80 [03:42<02:12,  4.40s/it]
 64%|██████▍   | 51/80 [03:46<02:07,  4.41s/it]
 65%|██████▌   | 52/80 [03:51<02:04,  4.45s/it]
 66%|██████▋   | 53/80 [03:55<01:59,  4.42s/it]
 68%|██████▊   | 54/80 [04:00<01:54,  4.42s/it]
 69%|██████▉   | 55/80 [04:04<01:51,  4.44s/it]
 70%|███████   | 56/80 [04:09<01:46,  4.45s/it]
 71%|███████▏  | 57/80 [04:13<01:41,  4.42s/it]
 72%|███████▎  | 58/80 [04:17<01:37,  4.43s/it]
 74%|███████▍  | 59/80 [04:22<01:32,  4.42s/it]
 75%|███████▌  | 60/80 [04:26<01:28,  4.41s/it]
 76%|███████▋  | 61/80 [04:31<01:23,  4.41s/it]
 78%|███████▊  | 62/80 [04:35<01:19,  4.42s/it]
 79%|███████▉  | 63/80 [04:40<01:15,  4.45s/it]
 80%|████████  | 64/80 [04:44<01:11,  4.45s/it]
 81%|████████▏ | 65/80 [04:49<01:07,  4.48s/it]
 82%|████████▎ | 66/80 [04:53<01:02,  4.44s/it]
 84%|████████▍ | 67/80 [04:58<00:58,  4.49s/it]
 85%|████████▌ | 68/80 [05:02<00:53,  4.44s/it]
 86%|████████▋ | 69/80 [05:06<00:48,  4.43s/it]
 88%|████████▊ | 70/80 [05:11<00:44,  4.50s/it]
 89%|████████▉ | 71/80 [05:16<00:41,  4.57s/it]
 90%|█████████ | 72/80 [05:20<00:36,  4.51s/it]
 91%|█████████▏| 73/80 [05:24<00:31,  4.43s/it]
 92%|█████████▎| 74/80 [05:29<00:26,  4.40s/it]
 94%|█████████▍| 75/80 [05:33<00:22,  4.40s/it]
 95%|█████████▌| 76/80 [05:37<00:17,  4.36s/it]
 96%|█████████▋| 77/80 [05:42<00:13,  4.34s/it]
 98%|█████████▊| 78/80 [05:46<00:08,  4.32s/it]
 99%|█████████▉| 79/80 [05:50<00:04,  4.32s/it]
100%|██████████| 80/80 [05:55<00:00,  4.34s/it]
100%|██████████| 80/80 [05:55<00:00,  4.44s/it]
Epoch [11/20], Train Loss: 0.2548
Validation

  0%|          | 0/20 [00:00<?, ?it/s]
  5%|▌         | 1/20 [00:04<01:22,  4.34s/it]
 10%|█         | 2/20 [00:08<01:18,  4.34s/it]
 15%|█▌        | 3/20 [00:13<01:14,  4.37s/it]
 20%|██        | 4/20 [00:17<01:10,  4.38s/it]
 25%|██▌       | 5/20 [00:21<01:05,  4.35s/it]
 30%|███       | 6/20 [00:26<01:00,  4.35s/it]
 35%|███▌      | 7/20 [00:30<00:56,  4.34s/it]
 40%|████      | 8/20 [00:34<00:51,  4.33s/it]
 45%|████▌     | 9/20 [00:39<00:47,  4.33s/it]
 50%|█████     | 10/20 [00:43<00:43,  4.37s/it]
 55%|█████▌    | 11/20 [00:47<00:39,  4.34s/it]
 60%|██████    | 12/20 [00:52<00:34,  4.37s/it]
 65%|██████▌   | 13/20 [00:56<00:30,  4.35s/it]
 70%|███████   | 14/20 [01:00<00:25,  4.32s/it]
 75%|███████▌  | 15/20 [01:05<00:21,  4.37s/it]
 80%|████████  | 16/20 [01:09<00:17,  4.35s/it]
 85%|████████▌ | 17/20 [01:14<00:13,  4.37s/it]
 90%|█████████ | 18/20 [01:18<00:08,  4.37s/it]
 95%|█████████▌| 19/20 [01:22<00:04,  4.37s/it]
100%|██████████| 20/20 [01:27<00:00,  4.35s/it]
100%|██████████| 20/20 [01:27<00:00,  4.35s/it]
Epoch [11/20], Validation Loss: 0.2592
Epoch 00011: reducing learning rate of group 0 to 5.0000e-03.
Early stopping. No improvement in validation loss for 3 epochs.
Best model achieved at epoch 8

  0%|          | 0/100 [00:00<?, ?it/s]
  1%|          | 1/100 [00:02<03:39,  2.22s/it]
  2%|▏         | 2/100 [00:04<03:37,  2.22s/it]
  3%|▎         | 3/100 [00:06<03:36,  2.23s/it]
  4%|▍         | 4/100 [00:08<03:34,  2.23s/it]
  5%|▌         | 5/100 [00:11<03:31,  2.22s/it]
  6%|▌         | 6/100 [00:13<03:30,  2.24s/it]
  7%|▋         | 7/100 [00:15<03:28,  2.24s/it]
  8%|▊         | 8/100 [00:17<03:26,  2.24s/it]
  9%|▉         | 9/100 [00:20<03:22,  2.23s/it]
 10%|█         | 10/100 [00:22<03:22,  2.25s/it]
 11%|█         | 11/100 [00:24<03:19,  2.24s/it]
 12%|█▏        | 12/100 [00:26<03:16,  2.24s/it]
 13%|█▎        | 13/100 [00:29<03:13,  2.23s/it]
 14%|█▍        | 14/100 [00:31<03:09,  2.20s/it]
 15%|█▌        | 15/100 [00:33<03:10,  2.24s/it]
 16%|█▌        | 16/100 [00:35<03:08,  2.24s/it]
 17%|█▋        | 17/100 [00:38<03:29,  2.53s/it]
 18%|█▊        | 18/100 [00:41<03:19,  2.44s/it]
 19%|█▉        | 19/100 [00:43<03:15,  2.41s/it]
 20%|██        | 20/100 [00:45<03:10,  2.39s/it]
 21%|██        | 21/100 [00:48<03:04,  2.33s/it]
 22%|██▏       | 22/100 [00:50<03:00,  2.32s/it]
 23%|██▎       | 23/100 [00:52<02:56,  2.29s/it]
 24%|██▍       | 24/100 [00:54<02:51,  2.26s/it]
 25%|██▌       | 25/100 [00:57<02:50,  2.27s/it]
 26%|██▌       | 26/100 [00:59<02:47,  2.26s/it]
 27%|██▋       | 27/100 [01:01<02:43,  2.25s/it]
 28%|██▊       | 28/100 [01:03<02:41,  2.24s/it]
 29%|██▉       | 29/100 [01:05<02:37,  2.22s/it]
 30%|███       | 30/100 [01:08<02:37,  2.25s/it]
 31%|███       | 31/100 [01:10<02:34,  2.24s/it]
 32%|███▏      | 32/100 [01:12<02:32,  2.24s/it]
 33%|███▎      | 33/100 [01:14<02:29,  2.22s/it]
 34%|███▍      | 34/100 [01:17<02:26,  2.22s/it]
 35%|███▌      | 35/100 [01:19<02:23,  2.21s/it]
 36%|███▌      | 36/100 [01:22<02:42,  2.54s/it]
 37%|███▋      | 37/100 [01:24<02:35,  2.46s/it]
 38%|███▊      | 38/100 [01:27<02:28,  2.40s/it]
 39%|███▉      | 39/100 [01:29<02:23,  2.35s/it]
 40%|████      | 40/100 [01:31<02:18,  2.31s/it]
 41%|████      | 41/100 [01:33<02:14,  2.29s/it]
 42%|████▏     | 42/100 [01:35<02:10,  2.25s/it]
 43%|████▎     | 43/100 [01:38<02:07,  2.23s/it]
 44%|████▍     | 44/100 [01:40<02:05,  2.24s/it]
 45%|████▌     | 45/100 [01:42<02:03,  2.24s/it]
 46%|████▌     | 46/100 [01:44<02:01,  2.25s/it]
 47%|████▋     | 47/100 [01:47<01:58,  2.24s/it]
 48%|████▊     | 48/100 [01:49<01:56,  2.25s/it]
 49%|████▉     | 49/100 [01:51<01:54,  2.25s/it]
 50%|█████     | 50/100 [01:53<01:52,  2.25s/it]
 51%|█████     | 51/100 [01:56<01:50,  2.25s/it]
 52%|█████▏    | 52/100 [02:00<02:23,  2.98s/it]
 53%|█████▎    | 53/100 [02:03<02:08,  2.74s/it]
 54%|█████▍    | 54/100 [02:05<01:59,  2.59s/it]
 55%|█████▌    | 55/100 [02:07<01:53,  2.53s/it]
 56%|█████▌    | 56/100 [02:09<01:46,  2.43s/it]
 57%|█████▋    | 57/100 [02:12<01:42,  2.39s/it]
 58%|█████▊    | 58/100 [02:14<01:38,  2.34s/it]
 59%|█████▉    | 59/100 [02:16<01:33,  2.29s/it]
 60%|██████    | 60/100 [02:18<01:30,  2.27s/it]
 61%|██████    | 61/100 [02:21<01:31,  2.35s/it]
 62%|██████▏   | 62/100 [02:23<01:27,  2.31s/it]
 63%|██████▎   | 63/100 [02:25<01:24,  2.28s/it]
 64%|██████▍   | 64/100 [02:27<01:22,  2.28s/it]
 65%|██████▌   | 65/100 [02:30<01:18,  2.25s/it]
